ID,Display Name,Category,Product,Entity,Team,Season,Style,Variant,Release,Competition,Country,Confederation,Technology,Brand,Collaboration,Size,Sleeves,Name,Number,Print,Nameset,Patch,Packaging,Signature,Notes
01JE-10CO-CAF-XXX-UNI-2010-015TH-000,2010 Africa Unity Authentic Third Jersey - In Box,Apparel,Jersey,Collective,Africa Unity,2010,Third,000,Regular,-,-,CAF,Authentic,Puma,-,S,Short,-,-,-,-,African Teams and Biodiversity,In Box,-,"Has patches of Algeria, Ivory Coast, Ghana, Cameroon (x2), and 2010 International Year of Biodiversity. Crestless version"
01JE-05CL-UEF-GER-KOL-2025-045SP-000,2025-26 1. FC Köln Carnival Special L/S Jersey,Apparel,Jersey,Club,1. FC Köln,2025-26,Special,000,Carnival,Bundesliga,Germany,UEFA,Replica,Hummel,-,S,Long,-,-,-,-,-,-,-,-
01JE-01NA-UEF-NOR-NOR-2024-010AW-000,2024 Norway Away Jersey Haaland #9,Apparel,Jersey,National Team,Norway,2024,Away,000,Regular,-,Norway,UEFA,Replica,Nike,-,S,Short,Erling Haaland,9,Haaland #9,Official,-,-,-,-
01JE-01NA-UEF-GER-GER-2026-005HO-000,2026 Germany Home Jersey,Apparel,Jersey,National Team,Germany,2026,Home,000,Regular,-,Germany,UEFA,Replica,Adidas,-,S,Short,-,-,-,-,-,-,-,-
01JE-01NA-AFC-JAP-JAP-2026-005HO-000,2026 Japan Home Jersey,Apparel,Jersey,National Team,Japan,2026,Home,000,Regular,-,Japan,AFC,Replica,Adidas,-,S,Short,-,-,-,-,-,-,-,-
01JE-01NA-UEF-BEL-BEL-2026-005HO-000,2026 Belgium Home Jersey,Apparel,Jersey,National Team,Belgium,2026,Home,000,Regular,-,Belgium,UEFA,Replica,Adidas,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-UEF-ENG-MCI-2025-015TH-000,2025-26 Manchester City Third Jersey,Apparel,Jersey,Club,Manchester City,2025-26,Third,000,Regular,Premier League,England,UEFA,Replica,Puma,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-UEF-ENG-MUN-2025-015TH-000,2025-26 Manchester United Third Jersey,Apparel,Jersey,Club,Manchester United,2025-26,Third,000,Regular,Premier League,England,UEFA,Replica,Adidas,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-UEF-ENG-LIV-2025-015TH-000,2025-26 Liverpool FC Third Jersey,Apparel,Jersey,Club,Liverpool FC,2025-26,Third,000,Regular,Premier League,England,UEFA,Replica,Adidas,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-UEF-FRA-PSG-2025-015TH-000,2025-26 Paris Saint-Germain Third Jersey,Apparel,Jersey,Club,Paris Saint-Germain,2025-26,Third,000,Regular,Ligue 1,France,UEFA,Replica,Nike,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-OAX-2017-015TH-000,2017-18 Alebrijes de Oaxaca Third Jersey,Apparel,Jersey,Club,Alebrijes de Oaxaca,2017-18,Third,000,Regular,Ascenso MX,Mexico,CONCACAF,Replica,Keuka,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-LOB-2017-005HO-000,2017-18 Lobos BUAP Home Jersey,Apparel,Jersey,Club,Lobos BUAP,2017-18,Home,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Keuka,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-QUE-2017-015TH-000,2017-18 Querétaro Third Jersey,Apparel,Jersey,Club,Querétaro,2017-18,Third,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Puma,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-QUE-2016-015TH-000,2016-17 Querétaro Third Jersey,Apparel,Jersey,Club,Querétaro,2016-17,Third,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Puma,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-QUE-2017-010AW-000,2017-18 Querétaro Away Jersey,Apparel,Jersey,Club,Querétaro,2017-18,Away,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Puma,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-QUE-2016-005HO-000,2016-17 Querétaro Authentic Home Jersey,Apparel,Jersey,Club,Querétaro,2016-17,Home,000,Regular,Liga MX,Mexico,CONCACAF,Authentic,Puma,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-SAN-2017-010AW-000,2017-18 Santos Laguna Away Jersey,Apparel,Jersey,Club,Santos Laguna,2017-18,Away,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Puma,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-MON-2017-010AW-000,2017-18 Rayados Monterrey Away Jersey,Apparel,Jersey,Club,Rayados Monterrey,2017-18,Away,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Puma,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-ATL-2016-015TH-000,2016-17 Atlas FC Third Jersey,Apparel,Jersey,Club,Atlas FC,2016-17,Third,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Puma,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-VER-2016-015TH-000,2016-17 CD Veracruz Third Jersey,Apparel,Jersey,Club,CD Veracruz,2016-17,Third,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Charly,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-JAG-2016-010AW-000,2016-17 Jaguares de Chiapas Away Jersey,Apparel,Jersey,Club,Jaguares de Chiapas,2016-17,Away,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Charly,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-TOL-2023-015TH-000,2023-24 Deportivo Toluca Third Jersey,Apparel,Jersey,Club,Deportivo Toluca,2023-24,Third,000,Regular,Liga MX,Mexico,CONCACAF,Replica,New Balance,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-TOL-2022-015TH-000,2022-23 Deportivo Toluca Third Jersey,Apparel,Jersey,Club,Deportivo Toluca,2022-23,Third,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Under Armour,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-TOL-2021-015TH-000,2021-22 Deportivo Toluca Third Jersey,Apparel,Jersey,Club,Deportivo Toluca,2021-22,Third,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Under Armour,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-TOL-2020-015TH-000,2020-21 Deportivo Toluca Third Jersey,Apparel,Jersey,Club,Deportivo Toluca,2020-21,Third,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Under Armour,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-TOL-2017-015TH-000,2017-18 Deportivo Toluca Third Jersey,Apparel,Jersey,Club,Deportivo Toluca,2017-18,Third,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Under Armour,-,S,Short,-,-,-,-,-,-,-,-
01JE-05CL-CCF-MEX-TOL-2016-015TH-000,2016-17 Deportivo Toluca Third Jersey,Apparel,Jersey,Club,Deportivo Toluca,2016-17,Third,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Under Armour,-,S,Short,-,-,-,-,100th Anniversary,-,-,-
01JE-05CL-CCF-MEX-TOL-2014-015TH-000,2014-15 Deportivo Toluca Third Jersey,Apparel,Jersey,Club,Deportivo Toluca,2014-15,Third,000,Regular,Liga MX,Mexico,CONCACAF,Replica,Under Armour,-,S,Short,-,-,-,-,Liga Mx,-,-,-
