ID,Display Name,Category,Product,Entity,Team Type,Team,Season,Style,Variant,Release,Competition,Country,Confederation,Technology,Brand,Collaboration,Size,Sleeves,Person,Print,Nameset,Patch,Packaging,Signature,Numbered,Notes
005-005-015-CAF-AAA-UNI-015-7989-09-2010-000,2010 Africa Unity Authentic Third Jersey - In Box,Apparel,Jersey,Team,Collective,Africa Unity,2010,Third,000,-,-,-,CAF,Authentic,Puma,-,S,Short,-,-,-,Algeria Crest | Ivory Coast Crest | Ghana Crest | Cameroon Primary Crest | Cameroon Secondary Crest | 2010 International Year of Biodiversity,In Box,-,-,Crestless version
005-005-010-UEF-GER-KOL-045-7974-06-2025-000,2025-26 1. FC Köln Carnival Special L/S Jersey,Apparel,Jersey,Team,Club,1. FC Köln,2025-26,Special,000,Carnival,Bundesliga,Germany,UEFA,Replica,Hummel,-,S,Long,-,-,-,-,-,-,-,-
005-005-005-UEF-NOR-NOR-010-7975-09-2024-000,2024 Norway Away Jersey Haaland #9,Apparel,Jersey,Team,National Team,Norway,2024,Away,000,-,-,Norway,UEFA,Replica,Nike,-,S,Short,Erling Haaland,Haaland #9,Official,-,-,-,-,-
005-005-005-UEF-GER-GER-005-7973-09-2026-000,2026 Germany Home Jersey,Apparel,Jersey,Team,National Team,Germany,2026,Home,000,-,-,Germany,UEFA,Replica,Adidas,-,S,Short,-,-,-,-,-,-,-,-
005-005-005-AFC-JAP-JAP-005-7973-09-2026-000,2026 Japan Home Jersey,Apparel,Jersey,Team,National Team,Japan,2026,Home,000,-,-,Japan,AFC,Replica,Adidas,-,S,Short,-,-,-,-,-,-,-,-
005-005-005-UEF-BEL-BEL-005-7973-09-2026-000,2026 Belgium Home Jersey,Apparel,Jersey,Team,National Team,Belgium,2026,Home,000,-,-,Belgium,UEFA,Replica,Adidas,-,S,Short,-,-,-,-,-,-,-,-
005-005-010-UEF-ENG-MCI-015-7974-06-2025-000,2025-26 Manchester City Third Jersey,Apparel,Jersey,Team,Club,Manchester City,2025-26,Third,000,-,Premier League,England,UEFA,Replica,Puma,-,S,Short,-,-,-,-,-,-,-,-
005-005-010-UEF-ENG-MUN-015-7974-06-2025-000,2025-26 Manchester United Third Jersey,Apparel,Jersey,Team,Club,Manchester United,2025-26,Third,000,-,Premier League,England,UEFA,Replica,Adidas,-,S,Short,-,-,-,-,-,-,-,-
005-005-010-UEF-ENG-LIV-015-7974-06-2025-000,2025-26 Liverpool FC Third Jersey,Apparel,Jersey,Team,Club,Liverpool FC,2025-26,Third,000,-,Premier League,England,UEFA,Replica,Adidas,-,S,Short,-,-,-,-,-,-,-,-
005-005-010-UEF-FRA-PSG-015-7974-06-2025-000,2025-26 Paris Saint-Germain Third Jersey,Apparel,Jersey,Team,Club,Paris Saint-Germain,2025-26,Third,000,-,Ligue 1,France,UEFA,Replica,Nike,-,S,Short,-,-,-,-,-,-,-,-
