Category,Order,Product,Code,Entity,Code,Team Type,Code,Team,Code,Season,Year,Type,Code,Style,Code,Release,Order,Competition,Code,Country,Code,Confederation,Code,Technology,Order,Brand,Code,Collaboration,Size,Order,Sleeves,Order,Person,Nameset,Order,Patch,Variant,Signed By,Packaging,Order
-,000,-,000,-,000,-,000,-,AAA,2026,2026,01,7973-09,-,000,-,000,-,AAA,-,AAA,-,AAA,-,000,-,AAA,-,-,000,-,000,-,-,000,-,000,-,-,000
Apparel,005,Jersey,005,Team,005,National Team,005,1. FC Köln,KOL,2025-26,2025,04,7974-06,Home,005,Reissue,005,2. Bundesliga,2BU,Albania,ALB,AFC,AFC,Authentic,005,Adidas,ADI,Antonio Marras,9-10Y,005,Short,005,Adrián Mora,Official,005,100th Anniversary,001,Kevin Großkreutz,In Box,005
Equipment,010,Hoodie,010,Event,010,Club,010,AC Milan,MIL,Clausura 2025,2025,02,7974-08,Away,010,Special Edition,010,Ascenso MX,AMX,Argentina,ARG,CAF,CAF,Replica,010,Borusseum,BOR,KidSuper,13-14Y,010,Long,010,Alexis Canelo,Generic,010,11th League Title | 12th League Title | Two-Time Champion,002,Team,Bundle Box,010
Collectibles,015,Jacket,015,Brand,015,Collective,015,ACF Fiorentina,FIO,2025,2025,01,7974-09,Third,015,Winners,015,Belgian First Division A,BEL,Austria,AUS,CONCACAF,CCF,Vintage Fabric,015,Brinkhoff's,BRI,Off-White,S,015,,,Aníbal Chalá,Commemorative,015,Algeria Crest | Ivory Coast Crest | Ghana Crest | Cameroon Primary Crest | Cameroon Secondary Crest | 2010 International Year of Biodiversity,003,,,
,,Pants,020,Person,020,,,Africa Unity,UNI,2024-25,2024,04,7975-06,Fourth,020,Matchday,020,Bundesliga,BUN,Belgium,BEL,CONMEBOL,CMB,Match Ball,020,Charly,CHA,Studio Sgura,M,020,,,Axel Witsel,,,Champions League,004,,,
,,Headwear,025,,,,,Ajax Amsterdam,AJA,2024,2024,01,7975-09,Cup Home,025,Farewell,025,Canadian Premier League,CAN,Brazil,BRA,FIFA,FIF,Training Ball,025,Classic Football Shirts,CFS,Tomorrowland,L,022,,,Carlos Adrián Morales,,,FIFA World Champions 2010,005,,,
,,Scarf,030,,,,,Albania,ALB,2023-24,2023,04,7976-06,Cup Away,030,75th Anniversary,030,Championnat National,CNA,Cameroon,CAM,OFC,OFC,Fan Ball,030,Corona,COR,Y-3,8.5 US,025,,,Christian Pulisic,,,FIFA World Champions 2014,006,,,
,,Boots,035,,,,,Alebrijes de Oaxaca,OAX,2023,2023,01,7976-09,Cup Third,035,100th Anniversary,035,CONCACAF Nations League,CNL,Canada,CAN,UEFA,UEF,,,Crocs,CRO,,9 US,030,,,Diego Rigonato,,,Kings League,007,,,
,,Ball,040,,,,,Arsenal FC,ARS,2022-23,2022,04,7977-06,Cup Fourth,040,105th Anniversary,040,Copa CONMEBOL Libertadores,LIB,Chile,CHI,,,,,Deutsches Fußballmuseum,DEU,,5 BALL,035,,,Emmanuel Gigliotti,,,La Liga | La Liga Champions 18/19,008,,,
,,Drinkware,045,,,,,AS Roma,ROM,2022,2022,01,7977-09,Special,045,125th Anniversary,045,Copa MX,CMX,Croatia,CRO,,,,,Errea,ERR,,,,,,Erling Haaland,,,Liga Mx,009,,,
,,Display,050,,,,,Atlanta United,ATL,2021-22,2021,04,7978-06,Goalkeeper,050,Carnival,050,DFB-Pokal,POK,Czech Republic,CZE,,,,,Hummel,HUM,,,,,,Everardo Shain,,,MLS,010,,,
,,Accessory,055,,,,,Atlas FC,ATL,2021,2021,01,7978-09,Activewear,055,,,Eredivise,ERE,Denmark,DEN,,,,,In-House,INH,,,,,,Felipe Pardo,,,Philips Founder of PSV,011,,,
