Artist,Code,Packaging,Order,Category,Order,Product,Code,Configuration,Order,Signed By,Format,Code,Style,Order,Color,Order,Genre,Order,Label,Order
-,AAAA,-,000,-,000,-,000,-,000,-,-,000,-,000,-,000,-,,-,
Above & Beyond,ABOV,Standard Jacket,005,Media,005,Music Release,005,1xUSB,005,Bratty,Vinyl,005,A-Side/B-side,,Black,,Electronic,,Afterlife | Interscope Records,
Alesso,ALES,Gatefold Jacket,010,Collectibles,010,Book,010,1xLP,010,Sub Zero Project,CD,010,Color in Color,,Black & Green,,Electronic | Funk / Soul | Pop,,Anjunabeats,
Andrew Rayel,ANDR,Gatefold Jacket + Slipcase,015,Apparel,015,Accessory,015,"1xLP + 1x7""",015,Tritonal,USB,015,Color in Color | Marbled,,Black & Pink & Orange,,Electronic | Pop,,Anjunadeep,
Anyma,ANYM,Trifold Jacket,020,,,Stationery,020,2xLP,020,Vicetone,Paperback,020,Galaxy,,Black & Yellow,,Electronic | Rock | Pop,,Armada Music,
AREA21,AREA,Trifold Jacket + Slipcase,025,,,Ticket,025,3xLP,025,,Hardcover,025,Marbled,,Blue,,Electronic | Stage & Screen,,Astralwerks,
Armin van Buuren,ARMI,Boxset,030,,,Hoddie,030,1xCD,030,,,,Metallic Ripple,,Blue | Purple,,Pop,,Astralwerks | Universal Music Group,
Avaion,AVAI,Jewel Case,035,,,Shirt,035,2xCD,035,,,,Opaque,,Clear,,Pop | Rock,,Astralwerks | Virgin Records,
Avicii,AVIC,Digipak,040,,,,,3xCD,040,,,,Picture Disc,,Clear & Orange | Blue,,R&B | Pop | Electronic,,Atlantic,
Ben Böhmer,BENB,Digipak + Slipcase,045,,,,,4xCD,050,,,,Printed,,Clear & Purple,,,,Because Music | Ed Banger Records | Genesis,
Ben Frost,BENF,Digipak + Slipcase + Bag,050,,,,,5xCD,055,,,,Smoke,,Cream,,,,Because Music | Ed Banger Records | Genesis | Virgin Records,
Big Wild,BIGW,Long Digipak + Slipcase,055,,,,,,,,,,Splatter,,Gold,,,,Big Beat | Atlantic,
Black Tiger Sex Machine,BLAC,Book-Style Case,060,,,,,,,,,,Translucent,,Green,,,,Big Beat | Atlantic | Warner Music,
Bratty,BRAT,,,,,,,,,,,,Transparent,,Grey,,,,bitbird,
Calvin Harris,CALV,,,,,,,,,,,,,,Magenta,,,,Circus Records,
Camelphat,CAME,,,,,,,,,,,,,,Orange,,,,Cloud 9 Dance,
Charlotte De Witte,CHAR,,,,,,,,,,,,,,Orange & White,,,,CNR Music Belgium NV,
Claptone,CLAP,,,,,,,,,,,,,,Peach,,,,Columbia,
Dabin,DABI,,,,,,,,,,,,,,Pearl,,,,Columbia | Fly Eye | Sony Music,
Daft Punk,DAFT,,,,,,,,,,,,,,Pink,,,,Columbia | Sony Music,
deadmau5,DEAD,,,,,,,,,,,,,,Red,,,,Counter Records,
DJ Tiësto,DJTI,,,,,,,,,,,,,,Red & Black,,,,Counter Records | Foreign Family Collective,
Enrico Sangiuliano,ENRI,,,,,,,,,,,,,,Red | White,,,,Counter Records | Ninja Tune,
Flume,FLUM,,,,,,,,,,,,,,Rose,,,,Darkroom | Geffen Records,
Flux Pavilion,FLUX,,,,,,,,,,,,,,Silver,,,,Def Jam Recordings | Virgin Records | Refune Records,
Fred again..,FRED,,,,,,,,,,,,,,White,,,,Different,
Fred again.. | Brian Eno,FRED,,,,,,,,,,,,,,White & Red,,,,Dirty Workz,
Galantis,GALA,,,,,,,,,,,,,,White | Pink,,,,Domino,
Gareth Emery,GARE,,,,,,,,,,,,,,Yellow,,,,Drumcode,
Gareth Emery | Ashley Wallbridge,GARE,,,,,,,,,,,,,,Zoetrope,,,,Embassy One,
Gorgon City,GORG,,,,,,,,,,,,,,,,,,EMI,
Gryffin,GRYF,,,,,,,,,,,,,,,,,,Enhanced Recordings,
Hardwell,HARD,,,,,,,,,,,,,,,,,,Experts Only | Darkroom,
Husman,HUSM,,,,,,,,,,,,,,,,,,Foreign Family Collective,
ILLENIUM,ILLE,,,,,,,,,,,,,,,,,,Future Classic | Transgressive Records,
Jai Wolf,JAIW,,,,,,,,,,,,,,,,,,Garuda,
Jamie XX,JAMI,,,,,,,,,,,,,,,,,,Geffen Records,
Jean-Michel Jarre,JEAN,,,,,,,,,,,,,,,,,,Hollywood Records,
John Summit,JOHN,,,,,,,,,,,,,,,,,,"Holoverse Research Labs, NYC",
Jon Hopkins,JONH,,,,,,,,,,,,,,,,,,Honey Records,
Justice,JUST,,,,,,,,,,,,,,,,,,HypnoVizion Records,
Kasbo,KASB,,,,,,,,,,,,,,,,,,ID&T,
Kygo,KYGO,,,,,,,,,,,,,,,,,,Interscope Records,
